Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-who.fhir.immunization.json	60253	-	0	0	0	0	0	0	11	176	0	0	0	0	0	0	0	3	0	0	369	221	0	0	0	15	0	2
input/resources/activitydefinition/IMMZ.DT.18.Rabies.03.json	1055	4	0	0	0	1	0	0	0	69	0	0	0	0	0	0	0	0	0	0	16	22	0	0	0	0	0	0
input/resources/activitydefinition/IMMZ.DT.15.Cholera.12.json	1076	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	1	0	0
input/resources/activitydefinition/IMMZ.DT.19.Dengue.01.json	1060	2	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	12	21	0	0	0	0	0	0
input/resources/activitydefinition/IMMZ.DT.15.Cholera.02.json	1092	3	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
input/resources/activitydefinition/IMMZ.DT.06.Pneumococcal.01.json	3003	4	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	19	13	0	0	0	0	0	0
input/resources/activitydefinition/IMMZ.DT.22.Varicella.05.json	1038	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
input/resources/activitydefinition/IMMZ.DT.21.SeasonalInfluenza.01.json	1117	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	12	0	0	0	0	0	0
input/resources/activitydefinition/IMMZ.DT.09.Rubella.01.json	2527	3	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0
input/resources/activitydefinition/IMMZ.DT.19.Dengue.02.json	1059	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	1	0	0
input/resources/activitydefinition/IMMZ.DT.15.Cholera.03.json	1110	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
input/resources/activitydefinition/IMMZ.DT.15.Cholera.11.json	1090	2	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0
input/resources/activitydefinition/IMMZ.DT.17.HepatitisA.01.json	1109	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
